time,kxx
19900000000.0,81883.48549737624
20000000000.0,81870.10107243124
20100000000.0,81854.24032680503
20200000000.0,81840.82867870177
20300000000.0,81824.92926309728
20400000000.0,81812.12887039535
20500000000.0,81795.11452908558
20600000000.0,81779.62531431446
20700000000.0,81760.42928181979
20800000000.0,81741.1320645388
20900000000.0,81724.80025299864
21000000000.0,81710.0646721685
21100000000.0,81691.65636930753
21200000000.0,81677.1475849704
21300000000.0,81657.87332290513
21400000000.0,81642.69434935265
21500000000.0,81632.14293944981
21600000000.0,81620.02213610652
21700000000.0,81604.7610928394
21800000000.0,81588.85851220362
21900000000.0,81573.83935242619
22000000000.0,81554.95326028408
22100000000.0,81536.03891762826
22200000000.0,81520.66452389608
22300000000.0,81506.0733023376
22400000000.0,81492.06180378707
22500000000.0,81476.86138342331
22600000000.0,81459.65670492871
22700000000.0,81442.65468880885
22800000000.0,81427.22645634924
22900000000.0,81413.88951946025
23000000000.0,81398.91489620262
23100000000.0,81384.5733479446
23200000000.0,81366.25356952546
23300000000.0,81353.5497467921
23400000000.0,81338.68676441358
23500000000.0,81324.65829782627
23600000000.0,81309.57453842563
23700000000.0,81296.1677296575
23800000000.0,81285.7091376819
23900000000.0,81270.80713610805
24000000000.0,81258.36236224508
24100000000.0,81245.22526907542
24200000000.0,81232.75724438285
24300000000.0,81217.10433092571
24400000000.0,81204.6982548281
24500000000.0,81193.3012135956
24600000000.0,81181.31996819343
24700000000.0,81168.17855335095
24800000000.0,81155.30000634222
24900000000.0,81143.67101743622
25000000000.0,81129.88981222331
25100000000.0,81115.88658567598
25200000000.0,81104.57784048689
25300000000.0,81091.91441552578
25400000000.0,81085.63474822829
25500000000.0,81076.87646855373
25600000000.0,81067.4870729634
25700000000.0,81055.84260812883
25800000000.0,81044.94334557914
25900000000.0,81034.18002700548
26000000000.0,81023.92670147846
26100000000.0,81015.81092131496
26200000000.0,81005.04811956915
26300000000.0,80994.83868162295
26400000000.0,80985.59735446014
26500000000.0,80974.60812893721
26600000000.0,80966.16047912047
26700000000.0,80955.68489729054
26800000000.0,80949.30752202724
26900000000.0,80940.18172799726
27000000000.0,80931.86105347643
27100000000.0,80921.242077771
27200000000.0,80910.15323914457
27300000000.0,80900.66416819069
27400000000.0,80891.2947944157
27500000000.0,80881.3078812964
27600000000.0,80873.1904649846
27700000000.0,80867.36627984654
27800000000.0,80858.11582123068
27900000000.0,80852.32793585825
28000000000.0,80844.00632214869
28100000000.0,80836.0178821819
28200000000.0,80826.29127049123
28300000000.0,80817.74670292644
28400000000.0,80810.61557249857
28500000000.0,80802.96612555809
28600000000.0,80796.25344928807
28700000000.0,80787.55247342355
28800000000.0,80779.39398406913
28900000000.0,80769.74269664644
29000000000.0,80764.72527960081
29100000000.0,80756.53689872318
29200000000.0,80749.14093653265
29300000000.0,80740.95794029502
29400000000.0,80734.22091066565
29500000000.0,80726.17006076129
29600000000.0,80718.62406820676
29700000000.0,80710.93402865183
29800000000.0,80703.35930305666
29900000000.0,80697.61369964508
30000000000.0,80691.57223045203
30100000000.0,80685.67683917415
30200000000.0,80681.25385280643
30300000000.0,80674.08283017683
30400000000.0,80667.07380823846
30500000000.0,80661.47552125102
30600000000.0,80655.37808446362
30700000000.0,80647.88007099912
30800000000.0,80640.72300173136
30900000000.0,80633.87470777874
31000000000.0,80626.87089203794
31100000000.0,80621.06475003152
31200000000.0,80614.77462625683
31300000000.0,80609.13323955056
31400000000.0,80603.7356097924
31500000000.0,80598.07256929611
31600000000.0,80593.81270374058
31700000000.0,80587.73662420579
31800000000.0,80582.81260275918
31900000000.0,80576.25480122176
32000000000.0,80571.49042657271
32100000000.0,80567.09183744252
32200000000.0,80563.45368144462
32300000000.0,80558.29366986985
32400000000.0,80553.67076093346
32500000000.0,80548.60078245914
32600000000.0,80543.33234529864
32700000000.0,80538.76767468543
32800000000.0,80533.45190835981
32900000000.0,80528.58586587006
33000000000.0,80522.83227068749
33100000000.0,80517.83334420873
33200000000.0,80513.83962585733
33300000000.0,80510.66296775476
33400000000.0,80505.96230467493
33500000000.0,80500.9326996579
33600000000.0,80497.15168422172
33700000000.0,80494.34466198992
33800000000.0,80490.43387741133
33900000000.0,80486.8495351391
34000000000.0,80482.26104520049
34100000000.0,80477.42886686116
34200000000.0,80473.56999697913
34300000000.0,80469.57755651674
34400000000.0,80466.23834386127
34500000000.0,80462.3935237802
34600000000.0,80458.20659391707
34700000000.0,80453.58688018206
34800000000.0,80450.28546721753
34900000000.0,80446.18604783854
35000000000.0,80442.78426261137
35100000000.0,80439.14923108251
35200000000.0,80435.28502225164
35300000000.0,80432.92670863942
35400000000.0,80430.14473473771
35500000000.0,80426.405607768
35600000000.0,80422.29693022344
35700000000.0,80419.42327651386
35800000000.0,80416.0704101394
35900000000.0,80413.77927962223
36000000000.0,80409.95361247704
36100000000.0,80406.93733162746
36200000000.0,80403.78091160668
36300000000.0,80401.82060266666
36400000000.0,80399.85025709312
36500000000.0,80398.94966774192
36600000000.0,80396.29991342122
36700000000.0,80393.31363746713
36800000000.0,80390.29649934056
36900000000.0,80388.8830743568
37000000000.0,80386.57886436337
37100000000.0,80383.18710605874
37200000000.0,80380.5970568962
37300000000.0,80377.42799853663
37400000000.0,80374.6300466718
37500000000.0,80373.31131253939
37600000000.0,80370.98528421938
37700000000.0,80367.96678234507
37800000000.0,80365.88226863593
37900000000.0,80362.93223886668
38000000000.0,80360.28222753594
38100000000.0,80358.66176690193
38200000000.0,80356.2338983897
38300000000.0,80353.5893162292
38400000000.0,80351.35367874615
38500000000.0,80349.93375787525
38600000000.0,80348.79131919071
38700000000.0,80346.2644401916
38800000000.0,80343.62540001023
38900000000.0,80342.60558085353
39000000000.0,80340.06223355139
39100000000.0,80338.31256700023
39200000000.0,80336.99937614916
39300000000.0,80336.17728934124
39400000000.0,80334.8416866244
39500000000.0,80332.65002574712
39600000000.0,80330.88573743623
39700000000.0,80329.01445722888
39800000000.0,80327.28235054525
39900000000.0,80325.46184189184
40000000000.0,80324.15093857978
40100000000.0,80322.92489646815
40200000000.0,80321.14438863916
40300000000.0,80319.03359286359
40400000000.0,80317.72619386739
40500000000.0,80315.68040698956
40600000000.0,80313.80671390545
40700000000.0,80312.35713689525
40800000000.0,80310.96895836203
40900000000.0,80309.53661576
41000000000.0,80308.11858042529
41100000000.0,80306.36050147419
41200000000.0,80304.88427254853
41300000000.0,80304.26049372953
41400000000.0,80302.48683033472
41500000000.0,80301.08624964973
41600000000.0,80299.49556376152
41700000000.0,80297.95936837456
41800000000.0,80297.15227810486
41900000000.0,80295.9386554067
42000000000.0,80294.32233381008
42100000000.0,80293.01500713828
42200000000.0,80291.47364653043
42300000000.0,80290.14741281915
42400000000.0,80288.92337572965
42500000000.0,80287.48160586636
42600000000.0,80286.36929673892
42700000000.0,80284.91763405726
42800000000.0,80283.48408179199
42900000000.0,80282.06934363075
43000000000.0,80281.87630089303
43100000000.0,80280.50803234386
43200000000.0,80279.15771691156
43300000000.0,80277.83469090742
43400000000.0,80277.83469090742
43500000000.0,80277.83469090742
43600000000.0,80277.83469090742
43700000000.0,80277.83469090742
43800000000.0,80277.83469090742
43900000000.0,80277.83469090742
44000000000.0,80277.83469090742
44100000000.0,80277.83469090742
44200000000.0,80277.83469090742
44300000000.0,80277.83469090742
44400000000.0,80277.83469090742
44500000000.0,80277.83469090742
44600000000.0,80277.83469090742
44700000000.0,80277.83469090742
44800000000.0,80277.83469090742
44900000000.0,80277.83469090742
45000000000.0,80277.83469090742
