time,vt_average,vt_std_dev,vt_margin_of_error
26900000000.0,2.746004716226223e-09,1.6151633003708764e-09,3.165661897877767e-10
27000000000.0,2.674806263755667e-09,1.5842360118745078e-09,3.1050455262854043e-10
27100000000.0,2.6053772878673647e-09,1.5537763874962587e-09,3.045345759521418e-10
27200000000.0,2.5376204927537183e-09,1.5237441228882745e-09,2.9864836025155925e-10
27300000000.0,2.471568657543749e-09,1.4941928322835431e-09,2.928564137233642e-10
27400000000.0,2.4071895427988e-09,1.4651647496210706e-09,2.871670140674944e-10
27500000000.0,2.344422862348133e-09,1.436591857854255e-09,2.8156683018778244e-10
27600000000.0,2.2832198488028453e-09,1.4084045531364137e-09,2.7604221998095993e-10
27700000000.0,2.2234844241300037e-09,1.3807190314038125e-09,2.7061595743205003e-10
27800000000.0,2.1652788623889262e-09,1.3534707560549653e-09,2.652753935995929e-10
27900000000.0,2.108552528297224e-09,1.326612870336175e-09,2.6001134472862077e-10
28000000000.0,2.0532070566261535e-09,1.300251959686386e-09,2.548447011812943e-10
28100000000.0,1.999291200747071e-09,1.2743016161321885e-09,2.4975852730602747e-10
28200000000.0,1.946789160751915e-09,1.2488133590112863e-09,2.44762920707461e-10
28300000000.0,1.8955804695005525e-09,1.2237543687233709e-09,2.398514488621357e-10
28400000000.0,1.8447315715162366e-09,1.2003492059932557e-09,2.3526412126180315e-10
28500000000.0,1.795187957891951e-09,1.1773848478111043e-09,2.307631897652937e-10
28600000000.0,1.7478539623185618e-09,1.1534714637154464e-09,2.2607625260769748e-10
28700000000.0,1.701730563168266e-09,1.1299895427182596e-09,2.2147388066346738e-10
28800000000.0,1.6567339302924504e-09,1.1068450485299406e-09,2.169376431585172e-10
28900000000.0,1.6128717862247085e-09,1.084130871874355e-09,2.1248574634017438e-10
29000000000.0,1.5701001185065793e-09,1.0618372351028875e-09,2.0811627382452496e-10
29100000000.0,1.528383807245853e-09,1.0399035285182214e-09,2.038173463291835e-10
29200000000.0,1.4877818498738696e-09,1.0183525595709062e-09,1.995934340323156e-10
29300000000.0,1.4482814623659723e-09,9.97200295254114e-10,1.9544766640707716e-10
29400000000.0,1.4097614274943223e-09,9.764400577658187e-10,1.9137873462832148e-10
